,asset_id,axis-0,axis-1,axis-2,axis-3
0,203,2.8265841936632254,2.9878404236383056,2.7538603595585616,2.739831790672837
1,785,3.4455989676041296,3.4426063545745818,3.0047058561765754,2.8433495016019936
2,1398,2.227755651477394,2.1562666874332503,4.400743147027412,4.499232378070488
3,1421,1.6477115966536133,1.7084649786400854,1.7629216358134567,1.7503281861872553
4,1908,1.7724334727661089,1.631569286222855,1.6621017265930935,1.6076339444642223
5,2602,2.3810964756140978,2.407740744037024,2.745800329298683,2.734675373798505
6,2774,9.298538180847277,8.896393289426843,8.585934718761125,6.300223611605554
7,2984,2.563434496262015,2.592370505517978,3.3218560875756498,3.2989720541117835
8,3600,2.241383721965112,2.2726114720541117,2.510318396226415,2.4967348255606976
9,3626,3.2489653791384834,3.2277389640441436,2.838354396582414,2.8475324848700607
10,3917,4.24186765752937,4.239475792096831,5.020503292986828,5.377213866144535
11,4205,4.46434451762193,4.348800729797081,3.962914960840157,4.107828631185475
12,4526,2.703864809540762,2.7072134211463155,2.1902144891420434,2.1808027767888927
13,5099,2.2566415984336063,2.2841647383410466,2.4239442417230332,2.162263038447846
14,5311,3.616372597009612,3.220513305446778,4.68000177999288,4.609002313990744
15,5537,1.9350413848344608,2.0197356710573158,2.1137304200783196,2.074559451762193
16,6890,2.5364676041295833,2.7303422036311855,2.5620883766464932,2.668999199003204
17,7038,3.435859069063724,3.465429200783197,3.7624766375934495,3.720123932004272
18,7282,2.867562967248131,2.9335339533641864,2.4911667853328585,2.4176085795656816
19,7581,2.3801564168743323,2.6973956479174084,2.8172002936988254,2.366172347810609
20,7619,3.229563456746173,3.2040205589177644,3.943062477750089,3.9279770380918477
21,8139,2.271576851192595,2.3112595674617302,2.664610404058384,2.593688812744749
22,8245,2.756385724457102,2.8042230331078675,2.475369348522606,2.4967292630829476
23,8817,3.1561776877892487,3.1653557760768956,2.7904670256318975,2.6389785065859734
24,9011,2.8934062388750443,2.889045256318975,2.1061543253826986,2.1442684229263085
25,9077,1.92501223745105,1.888622508009968,1.7609803310786756,1.7702362940548237
26,9223,4.504327607689569,4.357633944464222,5.157228996084016,5.357077696689213
27,9409,3.603061587753649,3.586307404770381,3.4059663136347456,3.253865922036312
28,9805,7.81253893734425,12.694870283018869,10.689763928444286,12.406533686365254
29,9891,2.200104574581702,2.07375845496618,2.211824715201139,2.0600246974012104
30,10133,3.6402022516909933,5.18002959238163,6.107339133143467,4.459777723389107
31,10198,2.7163525720897117,2.794794633321467,2.799628426486294,2.7034643111427554
