,asset_id,axis-0,axis-1,axis-2,axis-3,axis-4,axis-5,axis-6,axis-7,axis-8,axis-9,axis-10,axis-11
0,6,2.933055644132653,2.8389070471938775,2.8059231505102042,2.752551020408163,2.6142976721938775,2.940349968112245,2.6376554528061225,2.9252830038265305,2.500597895408163,2.9095982142857144,2.7568957270408165,2.887157206632653
1,13,2.086814413265306,2.1916454081632653,4.08707350127551,4.072365274234694,5.254663584183674,5.234175701530612,5.5708306760204085,5.551498724489796,5.051678093112245,4.994200414540816,3.4421436543367347,3.370475924744898
2,85,4.1304009885204085,4.113261320153061,2.8674465880102042,2.5302734375,4.521145567602041,4.403200733418367,5.909279336734694,5.8793845663265305,6.469188456632653,6.398557079081633,5.878328284438775,5.802834024234694
3,88,7.111726721938775,7.1762595663265305,8.84749681122449,8.77718431122449,8.93734056122449,8.769929846938776,7.456174266581633,7.134705835459184,4.682378029336735,3.7068120216836733,4.380719866071429,3.606883769132653
4,187,6.878926179846939,6.685526945153061,3.5105428890306123,2.6138592155612246,7.5229193239795915,7.093550701530612,10.425103635204081,10.167889030612244,11.091796875,10.962492028061224,10.048608896683673,10.006716358418368
5,191,4.184490593112245,4.389010682397959,4.271364795918367,4.061782525510204,4.293227838010204,3.535176179846939,4.135821906887755,4.0337013711734695,4.072524713010204,4.020308514030612,4.278559470663265,3.9753467793367347
6,247,4.926399075255102,4.603176817602041,4.277463329081633,3.775749362244898,8.3330078125,7.931261957908164,9.947783801020408,9.744060905612244,10.011140784438776,9.884546396683673,8.455695950255102,8.350665656887756
7,289,3.3429926658163267,3.5560028698979593,3.3389269770408165,2.879424426020408,3.6769770408163267,2.9965720663265305,4.1625677614795915,3.410455197704082,4.31608737244898,3.7513153698979593,3.964385363520408,3.3601124043367347
8,306,3.6693638392857144,3.7743542729591835,3.675103635204082,3.5406967474489797,3.260722257653061,2.9756457270408165,2.9869858099489797,2.026088169642857,3.0675023915816326,2.343849649234694,3.4306042729591835,3.0690768494897958
9,342,7.67073899872449,7.652642697704081,6.928471779336735,6.755321269132653,4.9585060586734695,4.409199617346939,4.791952327806122,2.5980747767857144,6.353575414540816,5.850386639030612,7.531010841836735,7.342514349489796
10,372,3.105648118622449,3.002650669642857,3.4699457908163267,3.237404336734694,3.3630221619897958,3.1897919323979593,3.130241549744898,2.867725605867347,2.9816844706632653,2.547173947704082,2.8037507971938775,2.49527662627551
11,396,2.7638113839285716,2.7609813456632653,2.8337850765306123,2.792530293367347,2.595005580357143,2.58870774872449,2.209861288265306,2.12093431122449,1.9842554209183674,1.8549107142857142,2.2934669961734695,2.2230747767857144
12,496,2.8545320471938775,2.8078563456632653,2.9354272959183674,2.842235331632653,2.9274752869897958,2.7782007334183674,2.8376315369897958,2.702746332908163,2.7125518176020407,2.647819674744898,2.6951729910714284,2.629284917091837
13,510,5.547552614795919,5.649752869897959,3.7709263392857144,3.638392857142857,3.5041454081632653,2.9977279974489797,5.2416693239795915,5.09016262755102,6.523875956632653,6.351602359693878,6.810208067602041,6.573003029336735
14,521,3.228216677295918,3.132433832908163,3.093570631377551,2.904994419642857,3.0092873086734695,2.614556760204082,2.9595623405612246,2.470523756377551,2.8964245854591835,2.6013432716836733,3.0072544642857144,2.7643893494897958
15,543,15.244339923469388,14.668965242346939,16.0357740752551,11.992087850765307,16.863062021683675,6.279914700255102,17.186662946428573,7.068000637755102,16.529097576530614,11.033282844387756,15.737862723214286,13.435168207908163
16,555,3.3290417729591835,3.1488360969387754,3.2264429209183674,3.059550382653061,3.285176179846939,2.8187779017857144,3.0172592474489797,3.098931760204082,3.117167570153061,2.98160475127551,2.9095982142857144,2.936344068877551
17,583,2.0923748405612246,2.1874402104591835,2.0568797831632653,2.037029655612245,2.041633450255102,1.9878228635204083,2.050243144132653,1.9331752232142858,2.0992107780612246,1.9092793367346939,2.0728435905612246,1.9046755420918366
18,653,13.051478794642858,13.064473054846939,11.96450494260204,11.85285794005102,8.20360331632653,7.597616390306122,4.183414381377551,3.7063735650510203,8.157246492346939,7.81218112244898,11.738022161989797,11.60971380739796
19,783,4.60562818877551,4.676219706632653,3.6893136160714284,3.734076052295918,2.22933274872449,2.250617825255102,2.615672831632653,2.557238520408163,4.066505899234694,4.039202008928571,4.774214764030612,4.713508450255102
20,797,4.822943239795919,4.941645408163265,5.387515943877551,5.4467873086734695,4.950055803571429,4.958386479591836,3.4371811224489797,3.4125079719387754,2.1627670599489797,1.9081034757653061,3.6319555165816326,3.4836375956632653
